Pure static;;;Static compared;;;Dynamic compared;;;Converted to dynamic;;
Hello world! How are you?;7;;AAA;3;;Hello world!;2;;Hello world!;1;
RegEx__Hello;1;;Hello1;1;;How are you?;1;;Hello_world!;1;
RegEx;1;;AAB;2;;Hello;1;;Jim;1;
Hello world!;26;;World;4;;path/to/dir;3;;How;8;
!;1;;Hello;7;;Hello world;5;;world;7;
Hello1;8;;;;;World!;1;;MyLogin;1;
AAB;2;;;;;false;1;;HeLLO___LLO World! Hello World!;1;
123;1;;;;;true;1;;How are you?;1;
1231234567;1;;;;;123456789111;1;;Hell!o! World! Hello World!;1;
Hello fucking world!;1;;;;;123;6;;MyLogin  ;3;
World;6;;;;;123.123;2;;Hello;18;
  MyLogin  ;1;;;;;1;1;;Helloworld!;2;
123.1234;1;;;;;;;;world!;2;
How are you, Jim?;1;;;;;;;;fucking;2;
1231234567f;1;;;;;;;;HELLO WORLD???;1;
MyLogin__;2;;;;;;;;are;8;
AAA;11;;;;;;;;Hello 555;1;
Test string, ignore it;4;;;;;;;;Hell!o! W!o!rld! Hell!o! W!o!rld!;1;
 ;2;;;;;;;; world;6;
Hello World!;10;;;;;;;;MyLogin_;1;
  MyLogin;1;;;;;;;;Hello World;18;
\w+;2;;;;;;;;Hellorld!;2;
world!;1;;;;;;;;Hello#;1;
Hello world! How are you, world?;1;;;;;;;;you;8;
__MyLogin;1;;;;;;;;   ;1;
MyLogin  ;2;;;;;;;;Hell!o! W!o!rld! Hello World!;1;
   ;2;;;;;;;;Hell!o! W!o!rld! Hell!o! World!;1;
MyLogin_;1;;;;;;;;World!;2;
Hello World;16;;;;;;;;Hello Jenny! I have {}$. If u want we can go to {}.;1;
Hello;43;;;;;;;;Hello World!;9;
Hello World! Hello World!;2;;;;;;;;llo;1;
f1231234567;1;;;;;;;;Hello Jenny! I have 300$. If u want we can go to {}.;1;
Hello_World!_How are you?;2;;;;;;;;Hello Jenny! I have 300$. If u want we can go to coffee.;1;
Hello world! How are you, wOrLd?;1;;;;;;;;World;3;
world;2;;;;;;;;!;2;
